season_name,start_cost,end_cost,total_points,minutes,creativity,influence,ict_index,threat,total_points,goals_scored,expected_goals,assists,expected_assists,expected_goal_involvements,goals_conceded,expected_goals_conceded,own_goals,penalties_missed,yellow_cards
2013/14,6.5,5.5,31,501,0.0,0.0,0.0,0.0,31,2,0.0,1,0.0,0.0,2,0.0,0,0,1
2014/15,6.5,6.0,3,33,0.0,0.0,0.0,0.0,3,0,0.0,0,0.0,0.0,3,0.0,0,0,0
2017/18,9.0,10.6,303,2905,942.5,1496.2,454.4,2109.0,303,32,0.0,12,0.0,0.0,29,0.0,0,1,1
2018/19,13.0,13.2,259,3254,973.9,1186.8,432.7,2168.0,259,22,0.0,12,0.0,0.0,20,0.0,0,0,1
2019/20,12.5,12.5,233,2879,834.8,1061.2,405.1,2156.0,233,19,0.0,10,0.0,0.0,26,0.0,0,0,1
2020/21,12.0,12.9,231,3077,825.7,1056.0,385.8,1980.0,231,22,0.0,6,0.0,0.0,41,0.0,0,0,0
2021/22,12.5,13.1,265,2758,875.9,1241.0,434.8,2230.0,265,23,0.0,14,0.0,0.0,22,0.0,0,1,1
2022/23,13.0,13.1,239,3290,899.2,1067.4,365.6,1688.0,239,19,21.01,13,7.03,28.04,45,47.47,0,2,2
2023/24,12.5,13.4,211,2531,892.2,1033.8,346.0,1531.0,211,18,20.89,12,7.47,28.36,30,32.22,0,2,2
2024/25,12.5,13.6,344,3374,1199.2,1577.0,476.0,1985.0,344,29,24.7,18,8.99,33.69,40,37.83,0,0,1
